"basin","wiki"
17387,"Alsek River"
53561,"Amazon River"
22944,"Amur River"
29702,"Aral_Sea"
36079,"Orontes River"
35444,"Atrek River"
45936,""
48510,"Awash River"
66644,"Baker River (Chile)"
46793,"Barka River"
44560,"Pearl_River_(China)"
46656,"Belize River"
52863,"Benito River"
51876,"Bia River"
46617,"Cả River"
50302,"Catatumbo River"
52217,"Cavalla River"
52217,"Cestos River"
55750,"Chiloango River"
55469,"Chira River"
48194,"Coco River"
38801,"Colorado River"
28646,"Columbia River"
56139,"Congo River"
51488,"Courantyne River"
49333,"Corubal_River"
32291,"Çoruh River"
52060,"Cross River (Nigeria)"
60480,"Etosha_pan"
29646,"Danube"
40505,"Ziz_River"
43053,"Dasht River"
19230,"Daugava (river)"
28427,"Dnieper"
28838,"Dniester"
28022,"Don River (Russia)"
32581,"Douro"
40802,"Draa River"
32263,"Drin (river)"
22219,"Elbe"
21307,"River Erne"
51302,"Essequibo River"
6515,""
20874,"River Foyle"
66779,"Gallegos River"
48779,"Gambia River"
44515,"Ganges"
47470,"Mareb River"
19230,"Gauja (Neman)"
49333,"Geba River"
48767,"Goascorán River"
50531,"Kolenté_River"
46401,"Grijalva River"
46400,"Grijalva River"
46656,"Grijalva River"
35354,"Guadiana"
42061,"Oued Saoura"
35244,"Han River (Korea)"
34103,"Hari_River_(Afghanistan)"
38356,"Helmand River"
39322,"Helmand River"
46656,"Hondo River (Belize)"
29327,"Lake Balkhash"
63044,"Komati River"
43904,"Indus River"
47944,"Irrawaddy River"
5822,"Yenisei River"
39270,"Jordan River"
52457,"Shebelle River"
53813,Jubba River
52596,"Shebelle River"
53999,"Shebelle River"
45859,"Kaladan River"
18792,"Klarälven"
29247,"Cogalnic_River"
51875,"Komoé River"
37727,""
59927,"Cunene River"
34094,"Kura_River"
65372,"Uruguay River"
65481,"Paraná River"
65020,"Lagoon_Mirim"
45492,"Lake_Chad"
46760,"Lake_Chad"
48842,"Lake_Chad"
54580,"Lake Natron"
60588,"Lake_Titicaca"
52594,"Lake_Turkana"
25559,"Ubsunur_Hollow"
21341,"Pregolya River"
48765,"Lempa River"
19646,"Lielupe"
62875,"Limpopo River"
46132,"Ma River"
63209,"Maputo River"
32991,"Maritsa"
51679,"Maroni (river)"
35374,"Medjerda River"
50064,"Mekong"
50068,"Mekong"
52971,"Mira_River_(South_America)"
40485,"Mississippi River"
28021,"Mius River"
51118,"Moa River"
51514,"Mono River"
47781,"Motagua River"
34103,"Murghab_River"
17542,"Narva_River"
19156,"Nelson River"
20903,"Neman (river)"
32988,"Nestos (river)"
46726,"Niger River"
46725,"Niger River"
46962,"Niger River"
46728,"Niger River"
46727,"Niger River"
52220,"Niger River"
47814,"Niger River"
38935,"Nile"
54730,"Nyanga River"
9584,"Ob River"
22231,"Oder"
54126,"Ogooué River"
54730,"Ogooué River"
52215,"Oyapock"
61205,"Okavango River"
60520,"Zambezi"
11301,"Oulankajoki"
28466,"Ural River"
63983,"Orange River"
50529,"Orinoco"
51516,"Ouémé River"
66417,"Palena_River"
